user_id,split_id,split_group
100001,0,0
100002,1,1
100003,0,1
100004,1,1
100005,1,1
100010,1,0
100011,0,0
100015,0,0
100016,1,0
100017,1,1
100018,1,0
100021,1,0
100022,1,0
100024,0,0
100026,0,1
100033,1,0
100034,0,1
100040,0,1
100041,1,0
100042,0,0
100045,0,0
100046,1,1
100050,1,0
100051,1,0
100052,0,0
100053,1,0
100057,0,0
100060,0,1
100061,0,0
100062,0,0
100066,1,1
100068,0,1
100074,0,0
100076,1,1
100079,1,0
100080,0,1
100082,0,1
100084,0,0
100091,1,0
100092,0,1
100093,0,1
100095,1,0
100096,1,1
100099,1,1
100100,1,0
100101,1,1
100103,1,1
100104,0,0
100110,1,1
100111,0,0
100114,1,0
100115,1,1
100117,0,0
100121,0,1
100122,1,1
100124,1,1
100126,0,0
100129,0,0
100133,0,1
100137,1,1
100139,0,1
100140,1,0
100141,1,0
100142,1,1
100143,0,0
100145,0,0
100150,1,0
100153,1,0
100154,0,1
100155,1,1
100158,1,0
100159,1,1
100161,1,0
100162,1,1
100165,0,0
100169,0,1
100170,1,0
100172,0,1
100173,0,0
100176,0,1
100177,0,0
100178,1,1
100179,1,1
100180,0,1
100183,0,1
100186,1,1
100188,1,1
100190,1,1
100192,1,0
100197,0,1
100198,1,0
100200,0,1
100203,1,0
100204,0,0
100205,1,0
100206,0,1
100208,0,0
100212,0,0
100213,1,0
100216,0,1
100217,1,1
100220,0,1
100224,0,1
100225,0,0
100226,0,0
100227,0,1
100229,1,1
100230,0,0
100232,0,1
100233,0,1
100236,0,0
100244,1,1
100246,0,1
100248,1,1
100249,0,0
100251,0,1
100253,0,0
100254,0,0
100257,1,0
100258,0,0
100259,0,1
100260,0,0
100261,1,0
100262,0,0
100263,0,0
100266,0,0
100267,0,1
100268,1,0
100276,0,1
100278,0,1
100280,0,0
100281,1,1
100288,0,0
100289,1,1
100294,1,1
100296,0,1
100297,1,0
100299,1,1
100300,1,1
100302,1,0
100303,0,1
100306,0,1
100307,1,1
100309,1,0
100311,0,0
100312,1,0
100316,1,0
100319,1,0
100321,1,0
100322,1,1
100323,0,0
100324,0,0
100325,0,0
100329,1,1
100331,0,0
100332,0,1
100333,1,1
100334,0,1
100335,1,0
100336,0,0
100337,0,1
100338,0,0
100341,1,0
100342,1,0
100344,1,0
100346,0,1
100347,1,1
